,model,max_tokens,temperature,top_k,top_p,repeat_penalty,num_tries,max_tries,date,extra
24,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:22:17.254676,-
25,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:23:35.105237,-
26,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:25:01.127531,-
27,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:26:08.283978,-
28,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:27:21.307743,-
29,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:28:41.677353,-
30,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:29:56.752272,-
31,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:31:20.885445,-
32,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:32:36.164965,-
33,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:33:55.130620,-
34,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:35:10.276183,-
35,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:36:32.240338,-
36,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 13:37:54.894174,-
37,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:06:04.325139,-
38,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:08:08.483719,-
39,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:09:05.558323,-
40,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:10:06.377861,-
41,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:11:03.499894,-
42,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:11:55.648097,-
43,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:12:54.230578,-
44,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:14:05.340857,-
45,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:14:28.484652,-
46,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:15:21.490636,-
47,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:16:21.411409,-
48,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:17:20.046173,-
49,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:18:28.563546,-
50,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:19:25.866845,-
51,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:20:23.858596,-
52,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:21:20.178216,-
53,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:22:16.339324,-
54,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:36:15.168345,-
55,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:37:20.713782,-
56,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:38:20.388275,-
57,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:39:18.048712,-
58,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:40:13.440727,-
59,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 14:41:19.328095,-
60,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 15:08:47.846339,-
61,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 15:16:53.449781,-
62,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-02 15:19:17.410466,-
63,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 15:20:17.192875,-
64,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-02 15:21:45.995781,-
65,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 15:22:43.351584,-
66,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-02 15:24:33.705154,-
67,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 15:25:36.036288,-
68,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 15:27:15.235616,-
69,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 15:28:32.115373,-
70,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-02 15:30:26.665916,-
71,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 15:31:52.377866,-
72,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-02 15:33:34.734944,-
73,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 15:34:36.468063,-
74,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 15:35:46.420255,-
75,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 15:37:04.243032,-
76,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 15:47:01.529981,-
77,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 15:48:04.293613,-
78,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-02 15:55:18.627302,-
79,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-02 15:57:22.886096,-
80,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 16:20:45.297012,-
81,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-02 16:25:59.378997,-
82,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-02 16:28:27.280117,-
83,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-02 16:50:22.713850,-
84,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,-1,2,2025-05-02 16:51:28.396537,-
85,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-02 16:53:39.327368,-
86,qwen2.5-7b-instruct-q6_k,50,1.0,50,0.9,1.3,1,2,2025-05-02 22:30:12.655037,-
87,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-03 13:43:14.062205,-
88,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-03 14:06:38.157143,-
89,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-03 14:34:03.992360,-
90,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-03 14:56:38.032020,-
91,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-03 14:58:51.866685,-
92,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-03 15:17:10.543387,-
93,qwen2.5-7b-instruct-q6_k,150,1.1,100,0.9,1.1,1,2,2025-05-03 15:45:48.522581,-
94,qwen2.5-7b-instruct-q6_k,150,1.1,100,0.9,1.1,1,2,2025-05-03 16:13:06.355299,-
95,qwen2.5-7b-instruct-q6_k,150,1.1,100,0.9,1.1,1,2,2025-05-03 16:34:11.245807,-
96,qwen2.5-7b-instruct-q6_k,150,1.1,100,0.9,1.1,1,2,2025-05-03 17:31:07.157782,-
97,qwen2.5-7b-instruct-q6_k,100,1.1,100,0.9,1.1,1,2,2025-05-03 17:40:32.744670,-
98,qwen2.5-7b-instruct-q6_k,100,1.1,100,0.9,1.1,1,2,2025-05-03 18:00:57.556007,-
99,qwen2.5-7b-instruct-q6_k,100,1.1,100,0.9,1.1,1,2,2025-05-03 18:49:08.410403,-
100,qwen2.5-7b-instruct-q6_k,100,1.1,100,0.9,1.1,1,2,2025-05-03 19:21:16.769777,-
101,qwen2.5-7b-instruct-q6_k,100,1.1,100,0.9,1.1,1,2,2025-05-03 20:13:08.251269,-
102,qwen2.5-7b-instruct-q6_k,100,1.1,100,0.9,1.1,1,2,2025-05-03 20:44:45.672551,-
103,qwen2.5-7b-instruct-q6_k,100,1.2,100,0.9,1.1,1,2,2025-05-04 13:22:35.701807,-
104,qwen2.5-7b-instruct-q6_k,100,1.2,100,0.9,1.1,1,2,2025-05-04 14:04:36.771982,-
105,qwen2.5-7b-instruct-q6_k,100,1.2,100,0.9,1.1,1,2,2025-05-04 15:01:45.788247,-
106,qwen2.5-7b-instruct-q6_k,100,1.2,100,0.9,1.1,1,2,2025-05-04 15:04:24.863688,-
107,qwen2.5-7b-instruct-q6_k,100,1.2,100,0.9,1.1,1,2,2025-05-04 15:08:14.628707,-
108,qwen2.5-7b-instruct-q6_k,200,1.5,50,0.9,1.2,1,2,2025-05-05 12:24:02.258636,-
109,qwen2.5-7b-instruct-q6_k,200,1.5,50,0.9,1.2,1,2,2025-05-05 12:26:15.970047,-
110,qwen2.5-7b-instruct-q6_k,200,1.5,50,0.9,1.2,1,2,2025-05-05 12:28:33.385270,-
111,qwen2.5-7b-instruct-q6_k,200,1.5,50,0.9,1.2,1,2,2025-05-05 12:29:58.554548,-
112,qwen2.5-7b-instruct-q6_k,200,1.5,50,0.9,1.2,1,2,2025-05-05 12:31:58.509468,-
113,qwen2.5-7b-instruct-q6_k,200,1.5,50,0.9,1.2,1,2,2025-05-05 12:33:26.335344,-
114,qwen2.5-7b-instruct-q6_k,200,1.5,50,0.9,1.2,1,2,2025-05-05 12:38:42.877768,-
115,qwen2.5-7b-instruct-q6_k,200,1.5,50,0.9,1.2,1,2,2025-05-05 12:40:13.193075,-
116,qwen2.5-7b-instruct-q6_k,200,1.5,50,0.9,1.2,1,2,2025-05-05 12:41:48.065280,-
117,qwen2.5-7b-instruct-q6_k,200,1.5,50,0.9,1.2,1,2,2025-05-05 12:53:50.381704,-
118,qwen2.5-7b-instruct-q6_k,200,1.5,50,0.9,1.2,1,2,2025-05-05 12:55:26.497074,-
119,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,2,2,2025-05-05 13:06:16.656275,-
120,qwen2.5-7b-instruct-q6_k,200,1.0,50,0.9,1.2,1,2,2025-05-05 13:08:02.255253,-
121,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-05 13:09:38.892724,-
122,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-05 13:19:51.653944,-
123,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-05 13:19:56.375311,-
124,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-05 13:20:01.966326,-
125,qwen2.5-7b-instruct-q6_k,100,1.3,100,0.9,1.1,1,2,2025-05-05 13:27:03.449888,-
126,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-05 13:30:29.821560,-
127,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-05 13:30:35.269732,-
128,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-05 13:32:21.730088,-
129,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-05 13:33:06.989157,-
130,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-05 13:34:32.947031,-
131,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-05 13:34:40.833693,-
132,qwen2.5-7b-instruct-q6_k,100,1.5,100,0.9,1.1,1,2,2025-05-06 10:15:35.412593,-
133,qwen2.5-7b-instruct-q6_k,100,1.5,100,0.9,1.1,1,2,2025-05-06 10:42:42.713637,-
134,qwen2.5-7b-instruct-q6_k,100,1.5,100,0.9,1.1,1,2,2025-05-06 11:09:29.439447,-
135,qwen2.5-7b-instruct-q6_k,100,1.5,100,0.9,1.1,1,2,2025-05-06 11:30:21.888818,-
136,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-06 18:19:03.976604,-
137,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-06 18:32:55.418916,-
138,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-06 18:33:24.882647,-
139,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-06 18:33:45.773321,-
140,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-06 18:34:08.948619,-
141,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-06 18:36:12.311270,-
142,qwen2.5-7b-instruct-q6_k,200,5.0,50,0.9,1.2,1,2,2025-05-06 18:36:16.628311,-
143,qwen2.5-7b-instruct-q6_k,100,1.5,100,0.9,1.1,1,2,2025-05-06 20:17:11.770076,-
144,qwen2.5-7b-instruct-q6_k,100,1.5,100,0.9,1.1,1,2,2025-05-06 20:41:11.108451,-
145,qwen2.5-7b-instruct-q6_k,100,1.5,100,0.9,1.1,1,2,2025-05-07 09:10:15.297614,-
146,qwen2.5-7b-instruct-q6_k,100,1.5,100,0.9,1.1,1,2,2025-05-07 09:19:41.600851,-
147,qwen2.5-7b-instruct-q6_k,100,1.5,100,0.9,1.1,1,2,2025-05-07 09:28:45.140820,-
148,qwen2.5-7b-instruct-q6_k,100,1.5,100,0.9,1.1,1,2,2025-05-07 09:36:33.038455,-
149,qwen2.5-7b-instruct-q6_k,100,1.5,100,0.9,1.1,1,2,2025-05-07 09:43:52.297138,-
150,qwen2.5-7b-instruct-q6_k,100,1.5,100,0.9,1.1,1,2,2025-05-07 09:50:19.568971,-
151,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-07 16:31:25.045873,-
152,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-07 16:33:25.666573,-
153,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-07 16:44:32.790509,-
154,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-07 16:55:01.815295,-
155,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-07 17:07:17.445954,-
156,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-08 13:52:04.883984,-
157,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-08 14:02:41.970577,-
158,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-08 14:13:28.347144,-
159,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-08 14:26:11.745082,-
160,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-09 08:57:01.925772,-
161,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-09 09:17:47.775297,-
162,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-09 09:29:02.401582,-
163,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-09 09:54:21.528093,-
164,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-09 11:51:53.516041,-
165,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-09 13:33:08.533868,-
166,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-10 10:26:53.407169,-
167,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-10 10:43:03.583342,-
168,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-10 10:57:58.423042,-
169,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-10 13:21:53.713795,-
170,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-10 14:06:17.673679,-
171,qwen2.5-7b-instruct-q6_k,100,3.0,100,0.9,1.0,1,2,2025-05-10 14:18:27.780815,-
172,qwen2.5-7b-instruct-q6_k,100,3.0,100,0.9,1.0,1,2,2025-05-10 14:26:45.752293,-
173,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-10 14:31:01.477397,-
174,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-10 14:58:28.057922,-
175,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-10 15:35:09.908887,-
176,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-10 16:07:10.761754,-
177,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-10 16:42:15.747110,-
178,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-10 17:14:18.433439,-
179,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-11 12:42:16.889891,-
180,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-11 13:21:26.859599,-
181,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-11 13:56:03.113075,-
182,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-11 14:32:24.606232,-
183,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-11 14:59:45.766336,-
184,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-11 15:34:44.483830,-
185,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-11 16:07:07.852841,-
186,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 10:40:54.523349,-
187,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 11:12:15.962953,-
188,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 11:38:00.100177,-
189,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 14:16:26.688341,-
190,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 14:40:48.070860,-
191,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 15:07:08.124049,-
192,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 15:22:06.628593,-
193,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 15:49:35.121913,-
194,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 17:13:41.010520,-
195,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 17:38:21.329775,-
196,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 17:59:19.380251,-
197,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 18:30:03.388172,-
198,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 19:36:57.480776,-
199,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 19:56:58.285077,-
200,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 20:13:55.082164,-
201,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 20:35:12.732364,-
202,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 20:52:03.680348,-
203,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 21:13:36.819830,-
204,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 21:41:55.200229,-
205,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-12 21:57:57.761700,-
206,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 08:57:38.619302,-
207,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 09:28:09.534777,-
208,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 09:56:02.501464,-
209,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 11:41:53.951576,-
210,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 12:04:24.510666,-
211,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 12:21:57.649452,-
212,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 12:34:41.014290,-
213,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 12:56:56.960582,-
214,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 13:13:51.710046,-
215,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 13:28:46.273071,-
216,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 13:46:03.485129,-
217,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 14:01:01.510238,-
218,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 14:29:30.413837,-
219,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 20:35:28.812787,-
220,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 21:03:58.335299,-
221,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-13 21:19:02.347180,-
222,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-14 08:48:08.765928,-
223,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,2,2,2025-05-14 09:18:01.573340,-
224,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-14 09:47:31.447571,-
225,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-14 10:00:34.713049,-
226,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-14 10:14:14.968562,-
227,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-14 10:27:07.472946,-
228,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-14 10:42:53.481762,-
229,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-14 11:11:32.370887,-
230,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-14 14:12:56.067307,-
231,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-14 14:39:00.277058,-
232,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-14 15:07:38.578236,-
233,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-14 15:31:51.927732,-
234,qwen2.5-7b-instruct-q6_k,100,2.0,100,0.9,1.0,1,2,2025-05-14 15:58:04.459038,-
